date,artist_id,artist,venue,city,country_code,country,songs
07-06-2025,2c81816c-4ce5-4872-bf76-bc8f5ef9338d,Sisters & Brothers,Hiker Fest Stage at N Wayne & Main,Waynesboro,US,United States,"Franklin's Tower, Deal, Sugaree, They Love Each Other, Gomorrah, My Sisters and Brothers, Tough Mama, The Harder They Come, Everybody Needs Somebody to Love, Bright Side of the Road, Catfish John, Don't Let Go, Dear Prudence"
07-06-2025,9d60d03b-c61b-4934-84c3-a832334e9ed9,Blue Healer,Superfly Brewing Co.,Charlottesville,US,United States,"Roadhouse Blues, Low, Hey Bulldog, Up on Cripple Creek, Driver 8, Dead Flowers, She Caught the Katy, The Harder They Come, It's All Over Now, Baby Blue, American Girl, Can't You Hear Me Knocking, I Don't Need No Doctor, Black Magic Woman, Turn to Stone, Gold on the Ceiling, Bright Lights, Ain't Wastin' Time No More, I Got the Same Old Blues, Down Along the Cove, Rocky Mountain Way, Gimme Shelter, Mr. Charlie, Crosscut Saw, Going Down, The Thrill Is Gone, While My Guitar Gently Weeps, Down by the River, I Put a Spell on You"
03-06-2025,e0c97a4d-c392-41a9-a374-57af3e3eeab3,Geese,Stage AE,Pittsburgh,US,United States,"3D Country, Cowboy Nudes, Half Real, 2122, Gravity Blues, Mysterious Love, Domoto, Islands of Men, Trinidad"
03-06-2025,af37c51c-0790-4a29-b995-456f98a6b8c9,Vampire Weekend,Stage AE,Pittsburgh,US,United States,"Mansard Roof, Cape Cod Kwassa Kwassa, I Stand Corrected, Ice Cream Piano, Classical, Connect, White Sky, Step, This Life, M79, Sympathy, New Dorp. New York, Pravda, Capricorn, Gen-X Cops, Diane Young, Cousins, A-Punk, Campus, Oxford Comma, Mary Boone, Unbearably White, Harmony Hall, Hope, Bizzare Love Triangle, Twist and Shout, Cecilia, Fluorescent Adolescent, Dance Yrself Clean, Monster Mash, Bouncing Around the Room, She's a Rainbow, Send Me on My Way, Two Weeks, Scar Tissue, Higher, The Way It Is, War Pigs, Worship You, Ya Hey"
30-05-2025,9741f7f9-7369-4922-bfd2-7595fd362e3a,Bofa,The Whiskey Jar,Charlottesville,US,United States,"Use Me, Franklin's Tower, For What It's Worth, Ain't Wastin' Time No More, Dirty Work, Valerie, Feelin' Alright?, Dancing in the Moonlight, Tennessee Whiskey, Can't You See, Not Fade Away, Iko Iko, Superstition, Fly Like an Eagle, Take Me Out, Shakedown Street, Bertha, S.O.B., Turn On Your Love Light, I Got Loaded, The Weight"
30-05-2025,e2eabb0c-46c0-4725-9a46-d6c440ce1fe7,Zandi Holup,The Tin Pan,Richmond,US,United States,"Gas Station Flowers, Dirty Wings, Mountain Man, Preacher's Daughter, Mary Jane, Go Find Less, Wild Flower"
30-05-2025,ec863030-7c13-45a3-a025-a69195d3a020,Steve Earle,The Tin Pan,Richmond,US,United States,
29-05-2025,ec863030-7c13-45a3-a025-a69195d3a020,Steve Earle,The Tin Pan,Richmond,US,United States,"Ben McCulloch, The Devil's Right Hand, Guitar Town, My Old Friend the Blues, Someday, I Ain't Ever Satisfied, No. 29, Copperhead Road, Billy Austin, Goodbye, South Nashville Blues, CCKMP, Transcendental Blues, City of Immigrants, The Mountain, It's About Blood, I'm Not Missing Anything But You, Tell Moses, The Galway Girl"
25-05-2025,32b87bbc-2363-457a-97b4-3103a569f3a7,Thee Sacred Souls,Ting Pavilion,Charlottesville,US,United States,"Intro Jam, Love Comes Easy, Lucid Girl, Price I'll Pay, Will I See You Again?, Love Comes Easy, Let Me Feel Your Charm, Easier Said Than Done, My Heart Is Drowning, Who's Lips You Been Kissing, Any Old Fool, We Don't Have to Be Alone, Running Away, It's Our Love, Waiting on the Right Time, Somebody Knew, Losing Side of Love, Someone to Fulfill My Needs, Weak for Your Love, Live for You, I'm So Glad I Found You, Baby, Happy Birthday to You, Future Lover, Can I Call You Rose?"
25-05-2025,fc71764b-0b47-412f-afc1-d55760eee9bb,Tre Burt,Ting Pavilion,Charlottesville,US,United States,"Traffic Fiction, Told Ya Then, You, Yeah, You"
24-05-2025,c6268e9f-0e03-488a-bdd6-c40db5f665e9,Mama Tried,Batesville Market,Charlottesville,US,United States,"I Shall Be Released, Beat It on Down the Line, Eyes of the World, Gypsy Woman, Hard to Handle, Truckin', Scarlet Begonias, Fire on the Mountain, Stop Living in the Past, Dixie Chicken, Down in the Motherland"
24-05-2025,8d79105b-000f-40fa-bcf7-394939083d2d,Bluegrass Destroyers,The Birdcage,Charlottesville,US,United States,"Mama Tried, Dim Lights, Thick Smoke (And Loud, Loud Music), Blue Ridge Mountain Girl, Old Home Place, The Last Thing on My Mind"
22-05-2025,9d60d03b-c61b-4934-84c3-a832334e9ed9,Blue Healer,Rapture,Charlottesville,US,United States,"Roadhouse Blues, Going Down, Hey Bulldog, While My Guitar Gently Weeps, I'm Writing a Novel, Driver 8, Dead Flowers, Down Along the Cove, Rocky Mountain Way, Gimme Shelter, Down by the River, American Girl, I Don't Need No Doctor, Black Magic Woman, Turn to Stone, Gold on the Ceiling, It's All Over Now, Baby Blue, Mr. Charlie, Crosscut Saw, I Got the Same Old Blues, Ain't Wastin' Time No More, Can't You Hear Me Knocking, Bright Lights, I Put a Spell on You"
13-05-2025,4559f7de-a1c1-4786-96c3-f6f1e91a3d8c,Gillian Welch & David Rawlings,Paramount Theater,Charlottesville,US,United States,"Coal Miner's Daughter, Elvis Presley Blues, Midnight Train, Empty Trainload of Sky, Howdy Howdy, Cumberland Gap, The Way It Will Be, Bells of Harlem, Wayside / Back in Time, Ruby, The Way It Goes, Brown-Eyed Women, Lawman, What We Had, Hard Times, Hashtag, Annabelle, Six White Horses, China Doll, Red Clay Halo, Look at Miss Ohio, I'll Fly Away, Revelator, Everything Is Free"
09-05-2025,73701a01-07e2-44f7-8935-e094bdc22892,Rebirth Brass Band,The Southern Cafe & Music Hall,Charlottesville,US,United States,"It's All Over Now, Feel Like Funkin' It Up, Cassanova, When the Saints Go Marchin’ In"
03-05-2025,3b0479fc-0c17-4db7-9785-8391ca3fadcc,Michael Clem,Rivanna River Company,Charlottesville,US,United States,
03-05-2025,3e952e40-a922-43fd-adf3-1b5bc67607bc,Gallatin Canyon,Rivanna River Company,Charlottesville,US,United States,"Dark Hollow, New River Train, Why You Been Gone So Long, You Can Have Her, Tennessee Whiskey, Sittin' on Top of the World, Blue Ridge Cabin Home, I Am Weary, Let Me Rest, Honey, You Don't Know My Mind, Blue Night, California Cottonfields, Deep Elem Blues, Big Spike Hammer, I Wonder Where You Are Tonight?, The Lonesome Road, Spanish Pipedream, I Know You Rider, Sophronie, Aragon Mill, White Freight Liner"
02-05-2025,2c81816c-4ce5-4872-bf76-bc8f5ef9338d,Sisters & Brothers,The Jefferson Theater,Charlottesville,US,United States,"He Ain't Give You None, Deep Elem Blues, Oh! Darling, The Harder They Come, Lay Down Sally, Sugaree, Ophelia, Tangled Up in Blue, (You Never Can Tell) C'est la vie, How Sweet It Is (To Be Loved by You), The Maker, Don't Let Go, Franklin's Tower, New Speedway Boogie, The Other One, Althea, Shakedown Street, Cissy Strut, Take Me to the River, Going Down the Road Feeling Bad, The Weight"
